"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2012";"Enero";"56906.4";"261850.05";"4021.08"
"2012";"Febrero";"55685.46";"269998.66";"3922.14"
"2012";"Marzo";"64246.21";"289622.57";"4931.29"
"2012";"Abril";"58695.71";"260806.61";"4145.47"
"2012";"Mayo";"62520.84";"282477.56";"4215.92"
"2012";"Junio";"67239.01";"290306.08";"6025.5"
"2012";"Julio";"70684.6";"295323.89";"5046.69"
"2012";"Agosto";"70973.17";"273885.64";"5575.71"
"2012";"Septiembre";"58368.41";"245969.53";"4328.85"
"2012";"Octubre";"61948.89";"273350.18";"3803.13"
"2012";"Noviembre";"57263.79";"260881.08";"3795.89"
"2012";"Diciembre";"60592.36";"257866.69";"4223.46"
"2013";"Enero";"52192.96";"237671.45";"2794.31"
"2013";"Febrero";"50676.47";"241541.49";"2947.15"
"2013";"Marzo";"59107.01";"267420.21";"3775.74"
"2013";"Abril";"59007.75";"273931.64";"3425.8"
"2013";"Mayo";"60122.46";"253699.42";"3899.47"
"2013";"Junio";"60436.84";"248145.46";"4053.9"
"2013";"Julio";"71752.23";"296526.65";"4593.22"
"2013";"Agosto";"67886.91";"265850.18";"4684.86"
"2013";"Septiembre";"58444.62";"250717.77";"3688.51"
"2013";"Octubre";"63333.17";"281075.85";"4153.16"
"2013";"Noviembre";"56364.09";"258068.58";"3672.54"
"2013";"Diciembre";"59105.75";"257751.77";"3633.19"
"2014";"Enero";"53657.43";"252214.38";"3023.73"
"2014";"Febrero";"52086.8";"247279.13";"3087.83"
"2014";"Marzo";"58648.42";"272515.02";"3495.65"
"2014";"Abril";"58888.48";"267366.01";"3724.01"
"2014";"Mayo";"60703.62";"277454.51";"3785.06"
"2014";"Junio";"60991.56";"269907.99";"4051.42"
"2014";"Julio";"69640.56";"304527.03";"4627.74"
"2014";"Agosto";"64640.16";"257041.12";"4472.66"
"2014";"Septiembre";"60751.75";"266327.69";"3822.9"
"2014";"Octubre";"62681.38";"284796.55";"4110.58"
"2014";"Noviembre";"54394.54";"257986.88";"3403.4"
"2014";"Diciembre";"61686.08";"277379.5";"4029.18"
"2015";"Enero";"55136.17";"262737.09";"3433.73"
"2015";"Febrero";"51031.31";"260626.99";"3461.81"
"2015";"Marzo";"58905.7";"291479.64";"3694.42"
"2015";"Abril";"59774.96";"282466.37";"4063.59"
"2015";"Mayo";"60271.26";"281776.3";"4070.01"
"2015";"Junio";"63412.53";"295294.4";"4240.24"
"2015";"Julio";"72013.31";"325192.22";"5276.32"
"2015";"Agosto";"63582.41";"270550.07";"4821.06"
"2015";"Septiembre";"59096.23";"270766.18";"4319.43"
"2015";"Octubre";"60398.21";"285662.84";"4409.95"
"2015";"Noviembre";"55076.47";"274938.96";"3951.22"
"2015";"Diciembre";"61092.86";"286369.51";"4416.74"
"2016";"Enero";"52811.27";"275996.33";"3681.21"
"2016";"Febrero";"55945.8";"293750.76";"3888.57"
"2016";"Marzo";"60116.31";"313476.1";"4417.38"
"2016";"Abril";"58430.31";"307382.95";"4337.21"
"2016";"Mayo";"61540.31";"298660.56";"4574.26"
"2016";"Junio";"65058.46";"305926.26";"5073.66"
"2016";"Julio";"71099.01";"319741.97";"6037.56"
"2016";"Agosto";"68958.56";"297720.47";"5447.13"
"2016";"Septiembre";"62390.86";"293729.7";"4758.69"
"2016";"Octubre";"60633.54";"289794.51";"4642.74"
"2016";"Noviembre";"57603.21";"292093.29";"4314.12"
"2016";"Diciembre";"60758.97";"291225.01";"4809.18"
"2017";"Enero";"53370.09";"275478.15";"3491.52"
"2017";"Febrero";"53130.89";"276127.66";"3831.43"
"2017";"Marzo";"62764.19";"320287.66";"4585.35"
"2017";"Abril";"60688";"286743.09";"4806.91"
"2017";"Mayo";"62350.32";"316670.42";"4725.21"
"2017";"Junio";"67249.05";"321593.94";"5258.44"
"2017";"Julio";"69919.3";"324161.52";"5912.3"
"2017";"Agosto";"69362.04";"300692.35";"5758.91"
"2017";"Septiembre";"62510.31";"288708.73";"4847.23"
"2017";"Octubre";"62164.98";"298450.18";"4843.48"
"2017";"Noviembre";"57750.35";"299431.17";"4325.75"
"2017";"Diciembre";"62229.82";"295231.04";"4809.21"
"2018";"Enero";"57611.96";"287499.28";"3917.06"
"2018";"Febrero";"54833.95";"281453.92";"3865.08"
"2018";"Marzo";"65908.19";"329128.18";"5058.49"
"2018";"Abril";"62028.61";"298431.75";"4484.63"
"2018";"Mayo";"67591.63";"322784.64";"5216.86"
"2018";"Junio";"70470.3";"320865.1";"5261.51"
"2018";"Julio";"78015.79";"339229.1";"5801.93"
"2018";"Agosto";"76015.07";"308859.38";"5983.65"
"2018";"Septiembre";"66519.85";"286687.48";"4894.65"
"2018";"Octubre";"69283.45";"317852.94";"4881.9"
"2018";"Noviembre";"64211.68";"308426.02";"4574.65"
"2018";"Diciembre";"67078.5";"291835.14";"4929.24"
"2019";"Enero";"62963.78";"303559.82";"4298.27"
"2019";"Febrero";"60075.44";"285088.92";""
"2019";"Marzo";"68022.64";"322386.29";"5002"
"2019";"Abril";"69722.02";"317383.12";""
"2019";"Mayo";"71923.96";"330926.88";""
"2019";"Junio";"73567.49";"310359.45";""
"2019";"Julio";"85852.18";"354393.81";""
;;;;
;;;;
"Métrica":"Gasolina95"
"Fuente":"Cores"
"Clasificación":""
"Unidad":"Toneladas de combustible"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Diesel"
"Fuente":"Cores"
"Clasificación":""
"Unidad":"Toneladas de combustible"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Gasolina 98"
"Fuente":"Cores"
"Clasificación":""
"Unidad":"Toneladas de combustible"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Url":"https://wwwepdataes/evolucion-consumo-carburante-comunidad/952727ae-a175-4f95-9c18-638a72fcca0b/cataluna/297"
"Titulo":"Evolución del consumo de carburante en Cataluña﻿ "
"Subtitulo":""
